cgl_locus,cg_locus,gene_name,product
Cgl0315,cg0382,,Adenylate kinase and related kinases
Cgl1313,cg1485,,Guanosine polyphosphate pyrophosphohydrolases/synthetases (EC 3.1.7.2)
Cgl2787,cg3087,,Predicted transcriptional regulators
Cgl0083,cg0112,ureR,Transcriptional regulators
Cgl0993,cg1131,,Flavodoxin domain-containing protein
Cgl3010,cg3338,,Hypothetical membrane protein
Cgl1307,cg1478,,Uncharacterized protein
Cgl2075,cg2274,,DNA-binding protein
Cgl1942,cg2128,,Secreted protein
Cgl0582,cg0674,rpsI,Small ribosomal subunit protein uS9 (30S ribosomal protein S9)
Cgl1906,cg2087,,Hypothetical membrane protein
Cgl2023,cg2217,frr,Ribosome-recycling factor (RRF) (Ribosome-releasing factor)
Cgl1423,cg1612,,"Acetyltransferases, including N-acetylases of ribosomal proteins"
Cgl2824,cg3126,,Hypothetical membrane protein
Cgl2848,cg3155,dcd,"dCTP deaminase, dUMP-forming (EC 3.5.4.30) (Bifunctional dCTP deaminase:dUTPase) (DCD-DUT)"
Cgl1272,cg1436,ilvN,Acetolactate synthase small subunit (AHAS) (ALS) (EC 2.2.1.6) (Acetohydroxy-acid synthase small subunit)
Cgl0986,cg1123,greA,Transcription elongation factor GreA (Transcript cleavage factor GreA)
Cgl0821,cg0939,,DUF2771 domain-containing protein
Cgl0005,cg0006,,UPF0232 protein Cgl0005/cg0006
Cgl0175,cg0216,,Hypothetical membrane protein
Cgl2514,cg2770,,Uncharacterized protein
Cgl1631,cg1837,,Putative pre-16S rRNA nuclease (EC 3.1.-.-)
Cgl2324,cg2553,,"RNA 2',3'-cyclic phosphodiesterase (RNA 2',3'-CPDase) (EC 3.1.4.58)"
Cgl2483,,,Uncharacterized protein
Cgl1619,cg1825,efp,Elongation factor P (EF-P)
Cgl1208,cg1364,atpF,ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)
Cgl1678,cg1893,,Histone acetyltransferase HPA2 and related acetyltransferases (EC 2.3.-.-)
Cgl1295,cg1465,,Hypothetical membrane protein
Cgl1296,cg1466,,SRPBCC domain-containing protein
Cgl1749,cg1969,,Uncharacterized protein
Cgl1742,cg1962,,Hypothetical membrane protein
Cgl1732,,,Uncharacterized protein
Cgl0975,cg1112,,Septum formation initiator
Cgl2262,cg2482,,Uncharacterized protein
Cgl1810,cg2030,,Secreted protein
Cgl0120,cg0155,,"Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily (EC 4.2.1.1)"
Cgl1195,cg1350,mob,Molybdopterin-guanine dinucleotide biosynthesis protein A
Cgl1350,cg1522,,Secreted protein
Cgl3084,cg3414,,UPF0301 protein Cgl3084/cg3414
Cgl0503,cg0592,,Acetyl-CoA hydrolase (EC 2.8.3.8)
Cgl0785,cg0895,,Uncharacterized protein
Cgl0897,cg1021,,BD-FAE-like domain-containing protein
Cgl1828,cg2048,,Uncharacterized protein
Cgl0320,cg0388,,"Zn-dependent hydrolases, including glyoxylases"
Cgl1162,cg1313,,DUF1524 domain-containing protein
Cgl0976,cg1113,,Uncharacterized ACR
Cgl0097,cg0127,,acetolactate synthase (EC 2.2.1.6)
Cgl1766,cg1986,,Glutaredoxin domain-containing protein
Cgl2223,cg2441,,Permeases of the major facilitator superfamily
Cgl2223,cg2442,,Permeases of the major facilitator superfamily
Cgl1541,cg1738,acnR,HTH-type transcriptional repressor AcnR (TetR-type regulator AcnR)
Cgl0881,cg1003,,5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)
Cgl1963,cg2153,,Uncharacterized protein (Competence-and mitomycin-induced)
Cgl2313,cg2540,,Hypothetical membrane protein
Cgl1523,cg1718,,Phospholipid-binding protein
Cgl2506,cg2759,tnp15b(ISCg15b),DDE domain-containing protein
Cgl1096,cg1246,,DUF402 domain-containing protein
Cgl2226,cg2444,,Uncharacterized protein Cgl2226/cg2444 (P24)
