cgl_locus,cg_locus,gene_name,product
Cgl1304,cg1475,,Uncharacterized protein
Cgl0264,cg0321,,Hypothetical membrane protein
Cgl1249,cg1408,,Hypothetical membrane protein
Cgl1625,cg1831,,Predicted transcriptional regulators
Cgl0864,cg0987,,DUF294 domain-containing protein
Cgl0989,cg1128,,Uncharacterized protein
Cgl1643,cg1849,,NADPH-dependent FMN reductase-like domain-containing protein
Cgl1655,,,Hypothetical protein
Cgl3047,cg3376,,Uncharacterized protein
Cgl1551,cg1749,,Uncharacterized protein
Cgl0056,cg0075,,Uncharacterized BCR
Cgl2299,cg2525,,Uncharacterized protein
Cgl3014,cg3342,,VWFA domain-containing protein
Cgl1317,,,Uncharacterized protein
Cgl1807,cg2027,,Uncharacterized protein
Cgl1892,cg2072,,Di-and tricarboxylate transporters
Cgl1041,cg1183,,Homoserine dehydrogenase
Cgl1049,cg1193,,"Uncharacterized ACR, homolog of gamma-carboxymuconolactone decarboxylase subunit (EC 4.1.1.44)"
Cgl2085,cg2287,,Uncharacterized protein
Cgl2477,cg2723,,Uncharacterized protein
Cgl0634,cg0734,,Uncharacterized protein
Cgl2453,cg2694,,Uncharacterized protein
Cgl0992,,,Uncharacterized protein
Cgl2717,cg3012,,Uncharacterized protein
Cgl0806,cg0919,,Insertion element IS402-like domain-containing protein
Cgl0915,cg1044,,Uncharacterized ACR
Cgl1345,cg1517,,Uncharacterized protein
Cgl2920,cg3230,,Predicted transcriptional regulators
Cgl0504,cg0593,rpsJ,Small ribosomal subunit protein uS10 (30S ribosomal protein S10)
Cgl0215,cg0264,,Molybdopterin synthase sulfur carrier subunit
Cgl2715,cg3008,porA,Porin
Cgl2925,cg3235,,Uncharacterized protein
Cgl1309,cg1481,,Uncharacterized protein
Cgl0868,cg0990,rpmG,Large ribosomal subunit protein bL33 (50S ribosomal protein L33)
Cgl1405,cg1592,,UPF0434 protein Cgl1405
Cgl3052,cg3381,,Sec-independent protein translocase protein TatA
Cgl2363,cg2595,rplU,Large ribosomal subunit protein bL21 (50S ribosomal protein L21)
Cgl2272,cg2493,,Uncharacterized protein
Cgl0865,,,Uncharacterized protein
Cgl1724,cg1942,,Uncharacterized protein
Cgl0570,cg0660,,Uncharacterized protein
Cgl2904,cg3212,,"Uncharacterized ACR, homolog of gamma-carboxymuconolactone decarboxylase subunit"
Cgl0356,cg0427,tnp17b(ISCg17a),Uncharacterized protein
Cgl2938,cg3250,,Uncharacterized protein
Cgl1319,cg1491,,Uncharacterized protein
Cgl1114,cg1265,,DUF3117 domain-containing protein
Cgl2182,cg2395,,Hypothetical membrane protein
Cgl0490,cg0578,,Hypothetical membrane protein
Cgl1113,cg1264,,Cell division protein DivIVA
Cgl0357,cg0428,tnp17c(ISCG17a),Transposase IS204/IS1001/IS1096/IS1165 DDE domain-containing protein
Cgl2991,cg3318,,Uncharacterized enzyme involved in biosynthesis of extracellular polysaccharides
Cgl0519,cg0606,,Hypothetical membrane protein
Cgl2518,cg2775,,Uncharacterized protein
Cgl2897,cg3205,,Uncharacterized protein
Cgl2921,cg3231,,Uncharacterized protein
Cgl0355,cg0426,tnp17a(ISCg17a),Transposase
Cgl1550,cg1748,,Uncharacterized protein
Cgl3049,cg3378,,Uncharacterized protein
Cgl1029,cg1167,,Methionine/alanine importer small subunit
Cgl2070,,,Uncharacterized protein
Cgl0243,cg0297,,Nucleoid-associated protein Cgl0243/cg0297
Cgl1785,,,Uncharacterized protein
Cgl2493,cg2740,,Hypothetical membrane protein
Cgl0916,cg1045,,Uncharacterized ACR
Cgl0853,cg0975,,Chorismate mutase
Cgl0413,cg0494,,Ribosomal protein mS38 C-terminal domain-containing protein
Cgl2533,,,Large ribosomal subunit protein bL36 (50S ribosomal protein L36)
Cgl1055,cg1201,,Uncharacterized protein
Cgl1762,cg1984,,Uncharacterized protein
Cgl2963,cg3283,,Uncharacterized protein
Cgl1299,cg1469,,Uncharacterized protein
Cgl2789,cg3089,arr,Rifampin ADP-ribosyltransferase domain-containing protein
Cgl1764,,,Hypothetical membrane protein
Cgl2515,cg2772,,ATP-dependent Clp protease adapter protein ClpS
Cgl0509,,,Uncharacterized protein
Cgl0544,cg0635,,NAD-dependent aldehyde dehydrogenases (EC 1.2.1.27)
Cgl1233,cg1389,,Hypothetical membrane protein
Cgl1343,cg1515,tnp24a(ISCg24a),Transposase
Cgl1044,cg1187,tnp10a(ISCg10a),Uncharacterized protein
Cgl2193,cg2407,,Transposase
Cgl2430,cg2667,,Uncharacterized protein
Cgl3030,cg3358,,Uncharacterized protein
Cgl1757,cg1978,,Uncharacterized protein
Cgl0541,cg0632,rpmD,Large ribosomal subunit protein uL30 (50S ribosomal protein L30)
Cgl0455,cg0538,,DUF3349 domain-containing protein
Cgl0378,cg0453,,Hypothetical membrane protein
Cgl0239,cg0293,,Uncharacterized protein
Cgl2675,cg2959,,Uncharacterized protein
Cgl2972,cg3293,,Uncharacterized protein
Cgl1182,cg1336,,Uncharacterized protein
Cgl1730,cg1948,,Uncharacterized protein
Cgl0281,cg0338,,DUF4177 domain-containing protein
Cgl1411,cg1599,,Uncharacterized protein
Cgl0873,cg0995,rpmF,Large ribosomal subunit protein bL32 (50S ribosomal protein L32)
Cgl2232,cg2451,,SPOR domain-containing protein
Cgl2232,cg4000,,SPOR domain-containing protein
Cgl1437,cg1625,,Uncharacterized protein
Cgl1985,cg2176,infB,Translation initiation factor IF-2
Cgl2804,cg3104,,ATP-binding protein
Cgl2394,cg2627,,DNA-binding HTH domains
Cgl0144,cg0181,,Alkylated DNA repair protein
Cgl0193,cg0241,,Uncharacterized protein
Cgl3043,cg3372,,Uncharacterized ACR
Cgl1033,cg1173,,Plasmid maintenance system antidote protein
Cgl2269,cg2490,,Uncharacterized protein
Cgl2373,cg2606,,Polyketide cyclase
Cgl2250,cg2468,,"ABC-type transporter, permease components"
Cgl0693,cg0795,,Thioredoxin reductase (EC 1.8.1.9)
Cgl0435,cg0516,hemE,Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)
Cgl0638,cg0738,dnaE2,Error-prone DNA polymerase (EC 2.7.7.7)
Cgl1609,cg1813,carB,Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)
Cgl1815,cg2035,,Site-specific DNA-methyltransferase (adenine-specific)
Cgl3077,cg3407,,Hypothetical membrane protein
Cgl1553,cg1752,int,Integrase
Cgl1421,cg1610,parA2,ATPases involved in chromosome partitioning
Cgl1491,cg1685,tatX,Sec-independent protein translocase protein TatA
Cgl0899,,,
Cgl0959,,,
Cgl2572,cg2843,pstB,Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase)
Cgl2346,cg2576,,DNA polymerase III delta subunit
Cgl1575,cg1776,tal,Transaldolase (EC 2.2.1.2)
Cgl2729,cg3024,mrpA,"NADH:ubiquinone oxidoreductase subunit 5 (Chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit"
Cgl2064,cg2263,,Uncharacterized protein
Cgl1274,,,Uncharacterized protein
Cgl0471,cg0556,ubiE,Demethylmenaquinone methyltransferase (EC 2.1.1.163)
Cgl0209,cg0258,moaE,"Molybdopterin converting factor, large subunit"
Cgl2577,cg2848,,DUF2993 domain-containing protein
Cgl1142,cg1293,,Hypothetical membrane protein
Cgl2659,cg2944,ispF,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)"
Cgl0201,cg0249,,"ABC-type transporter, permease components"
Cgl0624,cg0721,crtB2,Phytoene/squalene synthetase
Cgl1800,cg2020,,Uncharacterized protein
Cgl0801,cg0913,prfB,Peptide chain release factor 2 (RF-2)
Cgl1164,cg1316,,"Superfamily II DNA/RNA helicases, SNF2 family"
Cgl2065,cg2265,smc,Chromosome partition protein Smc
Cgl2418,cg2651,,Transcriptional regulator
Cgl2120,cg2326,,YCII-related domain-containing protein
Cgl0960,cg1096,,Uncharacterized protein
Cgl2245,cg2463,,Uncharacterized protein
Cgl0020,cg0027,,Transcriptional regulator
Cgl1337,cg1509,,Uncharacterized protein
Cgl1290,cg1458,,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (Catechol pathway) (EC 4.1.1.-, EC 5.3.3.-)"
Cgl0808,cg0922,,"ABC-type Fe3+-siderophores transport systems, periplasmic components"
Cgl2166,cg2377,mraW,Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)
Cgl2158,cg2369,murG,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)
Cgl2855,cg3161,,Hypothetical membrane protein
Cgl2222,cg2440,,Major facilitator superfamily domain-containing protein 1
Cgl0465,cg0549,,Putative pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96)
Cgl2345,cg2575,,Ankyrin repeat proteins
Cgl2263,cg2483,,Uncharacterized protein
Cgl1695,cg1910,,Uncharacterized protein
Cgl1469,cg1660,,Putative manganese efflux pump MntP
Cgl0011,cg0013,,TetR family transcriptional regulator
Cgl0862,cg0985,citE,Citrate lyase beta subunit (EC 4.1.3.6)
Cgl2906,cg3214,,DUF5926 domain-containing protein
Cgl2770,cg3068,fda,"Fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)"
Cgl2042,cg2240,thiF,Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2
Cgl2228,cg2446,glnE,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme (ATP:glutamine synthetase adenylyltransferase) (ATase) [Includes: Glutamine synthetase adenylyl-L-tyrosine phosphorylase (EC 2.7.7.89) (Adenylyl removase) (AR) (AT-N); Glutamine synthetase adenylyl transferase (EC 2.7.7.42) (Adenylyl transferase) (AT) (AT-C)]
Cgl1283,cg1449,,Lipoprotein
Cgl2805,cg3105,,DUF4194 domain-containing protein
Cgl1918,cg2101,,D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (Gly-tRNA(Ala) deacylase)
Cgl1973,cg2163,dapB,4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)
Cgl2877,,,Uncharacterized protein
Cgl1677,cg1892,,Uncharacterized protein
Cgl0599,cg0695,whiB3,Transcriptional regulator WhiB
Cgl2328,cg2558,,Putative glucose-6-phosphate 1-epimerase (EC 5.1.3.15)
Cgl0946,cg1081,,"ABC-type transporter, ATPase component"
Cgl0415,cg0495,,Phosphoserine phosphatase (EC 3.1.3.3)
Cgl2929,cg3240,,Permeases of the major facilitator superfamily
Cgl2148,cg2359,ileS,Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)
Cgl1538,cg1735,,Cell wall-associated hydrolases (Invasion-associated proteins)
Cgl0305,cg0368,,Secreted protein
Cgl3021,cg3349,,Uncharacterized protein
Cgl1204,cg1360,,Hypothetical membrane protein
Cgl2656,cg2941,,Threonine efflux protein
Cgl0887,cg1010,,Predicted membrane protein
Cgl0084,cg0113,ureA,Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)
Cgl2775,cg3073,sseA1,Rhodanese-related sulfurtransferases (EC 2.8.1.1)
Cgl2573,cg2844,pstA,Phosphate transport system permease protein PstA
Cgl0702,cg0806,,DUF6815 domain-containing protein
Cgl2116,cg2321,,DNA polymerase III epsilon subunit and related 3'-5' exonucleases (EC 2.7.7.7)
Cgl0776,cg0886,,DNA 3'-5' helicase (EC 5.6.2.4)
Cgl2301,cg2527,dcp,Zn-dependent oligopeptidases (EC 3.4.15.5)
Cgl0635,cg0735,,"ABC-type transporter, permease components"
Cgl2284,cg2509,recO,DNA repair protein RecO (Recombination protein O)
Cgl3002,cg3330,,DUF218 domain-containing protein
Cgl2842,cg3145,,Secreted protein
Cgl2548,cg2807,tnp11a(ISCg11a),FAD dependent oxidoreductase domain-containing protein
Cgl2053,cg2252,,"Uncharacterized ACR, double-stranded beta-helix domain"
Cgl0709,cg0814,birA,biotin--[biotin carboxyl-carrier protein] ligase (EC 6.3.4.15)
Cgl2562,cg2833,cysK,Cysteine synthase (EC 2.5.1.47)
Cgl1159,cg1310,tfdF,Alcohol dehydrogenase IV (EC 1.3.1.32)
Cgl2744,cg3039,,Na+/phosphate symporter
Cgl0202,cg0250,,Selenocysteine lyase
Cgl1475,cg1668,,Hypothetical membrane protein
Cgl1495,cg1689,,Prokaryotic ubiquitin-like protein Pup (Bacterial ubiquitin-like modifier)
Cgl0411,cg0492,,Helix-turn-helix domain-containing protein
Cgl3081,cg3411,,HMA domain-containing protein
Cgl1726,cg1944,,Uncharacterized protein
Cgl2669,,,Uncharacterized protein
Cgl2063,,,Uncharacterized protein
Cgl1301,,,Hypothetical membrane protein
Cgl1617,cg1823,,Uncharacterized protein
Cgl0560,cg0651,infA,Translation initiation factor IF-1
Cgl3078,cg3408,,Uncharacterized protein
Cgl1105,cg1255,,HNH nuclease domain-containing protein
Cgl1684,cg1899,,Uncharacterized protein
Cgl0292,cg0352,,Uncharacterized protein
Cgl0878,cg1000,,Uncharacterized protein
Cgl0655,cg0757,,YbdD/YjiX family protein
Cgl1907,cg2088,,Antitoxin HicB
Cgl0749,,,Uncharacterized protein
Cgl2909,,,Uncharacterized protein
Cgl1435,,,Uncharacterized protein
Cgl1825,cg2046,,Uncharacterized protein
Cgl2149,cg2360,,Hypothetical membrane protein
Cgl0818,cg0935,,Uncharacterized protein
Cgl0481,cg0568,,Amino acid permeases
Cgl2810,cg3110,,Uncharacterized protein
Cgl3048,cg3377,,Uncharacterized protein
Cgl0174,cg0215,cspA,Cold shock proteins
Cgl2300,cg2526,,Uncharacterized protein
Cgl2047,,,Uncharacterized protein
Cgl2413,,,Uncharacterized protein
Cgl2013,,,Transposase
Cgl0414,,,Secreted protein
Cgl1294,cg1464,,Predicted transcriptional regulator
Cgl1833,cg2054,,Hypothetical membrane protein
Cgl2701,,,Uncharacterized protein
Cgl2699,cg2987,dacB,D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 4) (EC 3.4.16.4)
Cgl2984,cg3311,,Hypothetical membrane protein
Cgl2040,cg2238,thiS,Sulfur transfer protein involved in thiamine biosynthesis
Cgl1818,cg2038,,Uncharacterized protein
Cgl2956,,,Uncharacterized protein
Cgl3005,,,
Cgl0498,,,Uncharacterized protein
Cgl0329,,,Uncharacterized protein
Cgl0957,,,Uncharacterized protein
Cgl1300,,,Uncharacterized protein
Cgl2958,cg3274,,"Site-specific recombinases, DNA invertase Pin homologs"
Cgl1729,cg1947,,Uncharacterized protein
Cgl1721,cg1938,,Uncharacterized protein
Cgl0609,cg0705,,Uncharacterized protein
Cgl2856,cg3162,,Uncharacterized protein
Cgl0229,cg0282,,CsbD-like domain-containing protein
Cgl0950,cg1085,,Uncharacterized protein
Cgl1885,,,Transposase
Cgl0758,,,Uncharacterized protein
Cgl0313,,,Uncharacterized protein
Cgl1146,,,Uncharacterized protein
Cgl1327,cg1499,,"Pyruvate carboxylase, C-terminal domain/subunit (EC 2.1.3.1)"
Cgl2808,cg4002,,Uncharacterized protein
Cgl0903,,,Uncharacterized protein
Cgl1751,cg1971,,Uncharacterized protein
Cgl0981,cg1119,,Stress-responsive transcriptional regulator
Cgl0673,cg0775,,Hypothetical membrane protein
Cgl2632,cg2915,,Uncharacterized protein
Cgl2480,cg2726,,Hypothetical membrane protein
Cgl0643,,,Transposase
Cgl0565,,,Uncharacterized protein
Cgl3054,,,Uncharacterized protein
Cgl0280,,,Uncharacterized protein
Cgl1735,cg1954,,Uncharacterized protein
Cgl0412,,,Uncharacterized protein
Cgl0723,cg0830,,Hypothetical membrane protein
Cgl1782,cg2002,,Uncharacterized protein
Cgl1341,cg1513,tnp23a(ISCg23a),Transposase
Cgl0979,cg1117,,Uncharacterized protein
Cgl2854,cg3160,,DUF2613 domain-containing protein
Cgl2809,cg3109,,ABC transmembrane type-1 domain-containing protein
Cgl2403,,,Uncharacterized protein
Cgl1357,,,Uncharacterized protein
Cgl0399,cg0479,,Uncharacterized protein
Cgl0660,,,ABM domain-containing protein
Cgl2215,cg2430,,Uncharacterized protein
Cgl1040,cg1182,,Uncharacterized protein
Cgl1172,cg1325,,Phage shock protein PspC N-terminal domain-containing protein
Cgl0838,cg0960,,Uncharacterized protein
Cgl1379,cg1564,rpmI,Large ribosomal subunit protein bL35 (50S ribosomal protein L35)
Cgl0304,cg0366,,DUF4244 domain-containing protein
Cgl0308,cg0371,cspA2,Cold shock proteins
Cgl2973,cg3294,,Uncharacterized protein
Cgl1045,,,Uncharacterized protein
Cgl1689,,,Uncharacterized protein
Cgl2649,,,Uncharacterized protein
Cgl2946,cg3260,,Hypothetical membrane protein
Cgl2582,cg2853,,DUF3073 domain-containing protein
Cgl1340,cg1512,,DUF2283 domain-containing protein
Cgl1351,cg1523,,Uncharacterized protein
Cgl1806,cg2026,,DUF2188 domain-containing protein
Cgl0772,cg0882,,ATP-binding protein
Cgl0869,cg0991,rpmB,Large ribosomal subunit protein bL28 (50S ribosomal protein L28)
Cgl2202,,,
Cgl1024,cg1162,xseB,Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit)
Cgl0699,cg0801,,Uncharacterized protein
Cgl1205,cg1361,,Uncharacterized protein
Cgl1012,cg1148,,Uncharacterized protein
Cgl1769,cg1989,,Uncharacterized protein
Cgl1276,cg1440,,"ABC-type nitrate/sulfonate/taurine/bicarbonate transport systems, ATPase components"
Cgl1774,cg1994,,Uncharacterized protein
Cgl0512,,,Uncharacterized protein
Cgl0797,,,Uncharacterized protein
Cgl1772,cg1992,,Uncharacterized protein
Cgl1956,cg2145,,DUF3046 domain-containing protein
Cgl2849,,,Uncharacterized protein
Cgl2221,cg2438,,Uncharacterized protein
Cgl1485,,,Fido domain-containing protein
Cgl2739,cg3033,,DUF3263 domain-containing protein
Cgl1505,cg1699,hisE,Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31)
Cgl2362,cg2594,rpmA,Large ribosomal subunit protein bL27 (50S ribosomal protein L27)
Cgl1976,cg2167,rpsO,Small ribosomal subunit protein uS15 (30S ribosomal protein S15)
Cgl0511,cg0599,rpsS,Small ribosomal subunit protein uS19 (30S ribosomal protein S19)
Cgl1711,cg1927,,Uncharacterized protein
Cgl0461,,,Uncharacterized protein
Cgl0516,cg0603,rpmC,Large ribosomal subunit protein uL29 (50S ribosomal protein L29)
Cgl2971,cg3292,,Copper chaperone (EC 3.6.1.-)
Cgl2820,cg3121,,Hypothetical membrane protein
Cgl2243,,,Transposase
Cgl2478,,,Transposase
Cgl0249,,,Uncharacterized protein
Cgl2343,cg2573,rpsT,Small ribosomal subunit protein bS20 (30S ribosomal protein S20)
Cgl2420,cg2654,tnp12b(ISCg12a),Uncharacterized protein
Cgl0841,cg0963,,Uncharacterized protein
Cgl0517,cg0604,rpsQ,Small ribosomal subunit protein uS17 (30S ribosomal protein S17)
Cgl1965,cg2155,,YCII-related domain-containing protein
Cgl1023,cg1160,,Arabinose efflux permease
Cgl1584,cg1786,secG,Protein-export membrane protein SecG
Cgl1175,cg1328,,Copper chaperone
Cgl1916,cg2098,,DUF3039 domain-containing protein
Cgl2270,cg2491,,Uncharacterized protein
Cgl2502,cg2755,,Uncharacterized protein
Cgl0649,cg0751,,Hypothetical membrane protein
Cgl2942,cg3254,,Hypothetical membrane protein
Cgl2768,cg3066,,Hypothetical membrane protein
Cgl0040,cg0055,,Cell division protein CrgA
Cgl2086,cg2288,,Hypothetical membrane protein
Cgl2151,cg2362,,Hypothetical membrane protein
Cgl1235,cg1392,,Predicted transcriptional regulators
Cgl2532,cg2789,nrdH,Glutaredoxin-like protein NrdH
Cgl0073,cg0096,,Aminotransferase
Cgl1706,cg1921,,Uncharacterized protein
Cgl2590,cg2865,purS,Phosphoribosylformylglycinamidine synthase subunit PurS (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit III) (FGAR amidotransferase III) (FGAR-AT III) (Phosphoribosylformylglycinamidine synthase subunit III)
Cgl0706,cg0810,,Acyl-CoA carboxylase subunit epsilon
Cgl0416,,,Uncharacterized protein
Cgl2811,cg3111,,Transmembrane protein
Cgl2977,cg3300,,Copper chaperone
Cgl0361,cg0436,,Uncharacterized protein
Cgl2593,,,Transposase
Cgl2983,cg3308,rpsF,Small ribosomal subunit protein bS6 (30S ribosomal protein S6)
Cgl1697,cg1912,,NADAR domain-containing protein
Cgl2124,cg2331,,Secreted protein
Cgl0842,cg0964,,Mycoredoxin 1 (EC 1.20.4.3)
Cgl1207,cg1363,atpE,ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)
Cgl2794,cg3094,,Uncharacterized protein
Cgl0866,cg0988,rpsR,Small ribosomal subunit protein bS18 (30S ribosomal protein S18)
Cgl0768,cg0878,whiB1(whcE),Transcriptional regulator WhiB
Cgl0459,cg0544,,Hypothetical membrane protein
Cgl1544,cg1742,,UPF0237 protein Cgl1544/cg1742
Cgl0425,cg0505,,Large ribosomal subunit protein bL12 C-terminal domain-containing protein
Cgl2778,cg3077,,Hypothetical membrane protein
Cgl1216,cg1372,,ATP/GTP-binding protein
Cgl2099,cg2302,,Hypothetical membrane protein
Cgl0191,cg0239,,Antitoxin
Cgl1267,cg1431,,Hypothetical membrane protein
Cgl2267,cg2488,,YtxH domain-containing protein
Cgl3073,cg3402,,Copper chaperone
Cgl0955,cg1091,,Uncharacterized protein
Cgl2021,cg2215,,Hypothetical membrane protein
Cgl0872,cg0994,rpmE,Large ribosomal subunit protein bL31B (50S ribosomal protein L31 type B)
Cgl1937,cg2121,ptsH,HPr domain-containing protein
Cgl2733,cg3028,mrpF,"Multisubunit Na+/H+ antiporter, MnhF subunit"
Cgl2066,cg2266,,Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase)
Cgl1022,,,Uncharacterized protein
Cgl2765,,,Uncharacterized protein
Cgl0586,cg0679,,Uncharacterized protein
Cgl1650,,,Secreted protein
Cgl2788,cg3088,arr',Rifampin ADP-ribosyltransferase domain-containing protein
Cgl0012,cg0014,,CopG family transcriptional regulator
Cgl2707,cg2996,ptsX',PTS sugar transporter subunit IIC
Cgl2707,cg2995,,PTS sugar transporter subunit IIC
Cgl0374,cg4001,,Fe/B12 periplasmic-binding domain-containing protein
Cgl1501,cg1695,,Plasmid maintenance system antidote protein
Cgl2762,cg3059,tnp8a(ISCg8a),Transposase
Cgl2488,cg2735,,DUF3618 domain-containing protein
Cgl2317,cg2545,,Hypothetical membrane protein
Cgl0580,cg0672,,ESAT-6-like protein
Cgl2564,cg2835,,Predicted acetyltransferase
Cgl2255,cg2473,acpM,Acyl carrier protein (ACP)
Cgl0904,,,
Cgl1723,cg1941,,Uncharacterized protein
Cgl1080,cg1229,,"ABC-type transporter, permease components"
Cgl0289,cg0347,phdE (hdtZ),Predicted acyl dehydratase
Cgl1788,cg2007,,Hypothetical membrane protein
Cgl0964,cg1100,,"ABC-type transporter, ATPase component and permease component"
Cgl2073,cg2272,mutM1,Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)
Cgl0734,cg0841,,Uncharacterized ACR
Cgl0381,cg0456,,Permeases of the major facilitator superfamily
Cgl1273,cg1437,ilvC,Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)
Cgl2536,cg2794,,Pyridoxamine 5'-phosphate oxidase
Cgl2400,cg2634,catC,Muconolactone Delta-isomerase (MIase) (EC 5.3.3.4)
Cgl0205,cg0253,,2Fe-2S ferredoxin-type domain-containing protein
Cgl1702,cg1917,,Uncharacterized protein
Cgl1368,cg1548,,Uncharacterized protein
Cgl1468,cg1659,gpt,Predicted phosphoribosyltransferases
Cgl0859,cg0982,,Hypothetical membrane protein
Cgl0328,cg0397,,"5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases (EC 3.6.1.45)"
Cgl1219,cg1375,,Thioredoxin domain-containing protein
Cgl2132,cg2340,,Solute-binding protein family 3/N-terminal domain-containing protein
Cgl0006,cg0007,gyrB,DNA gyrase subunit B (EC 5.6.2.2)
Cgl2522,cg2779,serB,phosphoserine phosphatase (EC 3.1.3.3) (O-phosphoserine phosphohydrolase)
Cgl2542,cg2801,crcB',Fluoride-specific ion channel FluC 1
Cgl2677,cg2962,,Uncharacterized enzyme involved in biosynthesis of extracellular polysaccharides
Cgl0597,cg0690,groES,Co-chaperonin GroES (10 kDa chaperonin) (Chaperonin-10) (Cpn10)
Cgl1928,cg2112,,Transcriptional repressor NrdR
Cgl0271,cg0328,,DUF559 domain-containing protein
Cgl1687,cg1903,,"ABC-type transporter, ATPase component"
Cgl1242,cg1399,,Permeases of the major facilitator superfamily
Cgl2456,cg2699,,"ABC-type transporter, permease components"
Cgl1270,cg1434,yggB,Uncharacterized protein Cgl1270/cg1434
Cgl0738,cg0844,,site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)
Cgl2642,cg2925,ptsS,protein-N(pi)-phosphohistidine--sucrose phosphotransferase (EC 2.7.1.211)
Cgl0331,cg0400,adhC,alcohol dehydrogenase (NADP(+)) (EC 1.1.1.2)
Cgl0054,cg0073,,Rhodanese-related sulfurtransferases
Cgl1042,cg1184,tnp10c(ISCg10a),Transposase IS204/IS1001/IS1096/IS1165 DDE domain-containing protein
Cgl1091,cg4004,,Nudix hydrolase domain-containing protein
Cgl0285,cg0343,phdR,Transcriptional regulators
Cgl2327,cg2557,,Predicted Na+-dependent transporter
Cgl0686,cg0789,amiA,Metal-dependent amidase/aminoacylase/carboxypeptidase
Cgl1802,cg2022,,Uncharacterized protein
Cgl1902,cg2083,dxs,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)
Cgl2611,cg2893,,Permeases of the major facilitator superfamily
Cgl0269,cg0326,nuoL,"NADH:ubiquinone oxidoreductase subunit 5 (Chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit"
Cgl0737,cg0843,,Distinct helicase family with a unique C-terminal domain including a metal-binding cysteine cluster
Cgl0963,cg1099,mfd,Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)
Cgl0147,cg0184,,Uncharacterized ACR
Cgl0220,cg0270,,Uncharacterized protein
Cgl1246,cg1403,gatC,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (Asp/Glu-ADT subunit C) (EC 6.3.5.-)
Cgl0627,cg0725,crtR,Transcriptional regulators
Cgl2143,cg2352,ansA,L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D (EC 3.5.1.1)
Cgl1315,cg1487,leuC,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
