Entry	Gene Names	Gene Names (ordered locus)	Protein names
Q8NR92	Cgl1160	Cgl1160	Hydroxyquinol 1,2-dioxygenase (EC 1.13.11.37)
Q8NRB3	metE Cgl1139 cg1290	Cgl1139 cg1290	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)
Q8NRD4	glgC Cgl1118 cg1269	Cgl1118 cg1269	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase)
Q8NRM2	ispH lytB Cgl1026 cg1164	Cgl1026 cg1164	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4)
Q8NRS1	eno Cgl0974 cg1111	Cgl0974 cg1111	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)
Q8NRV6	pth1 Cgl0935 cg1067	Cgl0935 cg1067	Peptidyl-tRNA hydrolase 2 (Pth 2) (EC 3.1.1.29)
Q8NS31	pgi Cgl0851 cg0973	Cgl0851 cg0973	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)
Q8NS49	mctC Cgl0833	Cgl0833	Monocarboxylic acid transporter
Q8NS92	pdxR Cgl0787 cg0897	Cgl0787 cg0897	HTH-type pyridoxine biosynthesis transcriptional regulator PdxR
Q8NSN2	metN Cgl0636 cg0736	Cgl0636 cg0736	Methionine import ATP-binding protein MetN (EC 7.4.2.11)
Q8NSV0	truA Cgl0567 cg0657	Cgl0567 cg0657	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)
Q8NT41	mgtA Cgl0469 cg0554	Cgl0469 cg0554	GDP-mannose-dependent alpha-mannosyltransferase (EC 2.4.1.-) (Guanosine diphosphomannose-dependent alpha-mannosyltransferase)
Q8NTA5	gpmA Cgl0402 cg0482	Cgl0402 cg0482	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)
Q8NTC4	deoC Cgl0383 cg0458	Cgl0383 cg0458	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)
Q9AE10	ruvA Cgl1661 cg1870	Cgl1661 cg1870	Holliday junction branch migration complex subunit RuvA
Q9K5E4	metK Cgl1603 cg1806	Cgl1603 cg1806	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)
Q9X4N0	panD Cgl0135 cg0172	Cgl0135 cg0172	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]
P06558	trpG Cgl3031 cg3360	Cgl3031 cg3360	Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, GATase component) (Anthranilate synthase, glutamine amidotransferase component)
P06559	trpD Cgl3032 cg3361	Cgl3032 cg3361	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)
P07128	thrB Cgl1184 cg1338	Cgl1184 cg1338	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)
P19583	tpiA tpi Cgl1586 cg1789	Cgl1586 cg1789	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)
