gsm_accession,filename,size_bytes,qc_status,strain,notes
GSM5197215,GSM5197215_0196_.gpr.gz,4364694,PASS,ATCC13032,Compendium sub-sample
GSM5197216,GSM5197216_0197_.gpr.gz,4316281,PASS,ATCC13032,Compendium sub-sample
GSM5197217,GSM5197217_0198_.gpr.gz,3912598,PASS,ATCC13032,Compendium sub-sample
GSM5197218,GSM5197218_0199_.gpr.gz,3984448,PASS,ATCC13032,Compendium sub-sample
GSM5197219,GSM5197219_0200_.gpr.gz,4165478,PASS,ATCC13032,Compendium sub-sample
GSM5197220,GSM5197220_0201_.gpr.gz,4235428,PASS,ATCC13032,Compendium sub-sample
GSM5197221,GSM5197221_0202_.gpr.gz,3813483,PASS,ATCC13032,Compendium sub-sample
GSM5197222,GSM5197222_0203_.gpr.gz,3794700,PASS,ATCC13032,Compendium sub-sample
GSM5197223,GSM5197223_0204_.gpr.gz,1039649,PASS,ATCC13032,Compendium sub-sample
GSM5197224,GSM5197224_0205_.gpr.gz,926357,PASS,ATCC13032,Compendium sub-sample
GSM5197225,GSM5197225_0206_.gpr.gz,975721,PASS,ATCC13032,Compendium sub-sample
GSM5197226,GSM5197226_0207_.gpr.gz,926659,PASS,ATCC13032,Compendium sub-sample
GSM5197227,GSM5197227_0208_.gpr.gz,978252,PASS,ATCC13032,Compendium sub-sample
GSM5197228,GSM5197228_0209_.gpr.gz,924103,PASS,ATCC13032,Compendium sub-sample
GSM5197229,GSM5197229_0210_.gpr.gz,920354,PASS,ATCC13032,Compendium sub-sample
GSM5197230,GSM5197230_0211_.gpr.gz,956859,PASS,ATCC13032,Compendium sub-sample
GSM5197231,GSM5197231_0212_.gpr.gz,891175,PASS,ATCC13032,Compendium sub-sample
GSM5197232,GSM5197232_0213_.gpr.gz,983272,PASS,ATCC13032,Compendium sub-sample
GSM5197233,GSM5197233_0214_.gpr.gz,1043352,PASS,ATCC13032,Compendium sub-sample
GSM5197234,GSM5197234_0215_.gpr.gz,1073704,PASS,ATCC13032,Compendium sub-sample
GSM5197235,GSM5197235_0216_.gpr.gz,928628,PASS,ATCC13032,Compendium sub-sample
GSM5197236,GSM5197236_0217_.gpr.gz,988960,PASS,ATCC13032,Compendium sub-sample
GSM5197237,GSM5197237_0218_.gpr.gz,1025766,PASS,ATCC13032,Compendium sub-sample
GSM5197238,GSM5197238_0219_.gpr.gz,1073704,PASS,ATCC13032,Compendium sub-sample
GSM5197239,GSM5197239_0220_.gpr.gz,1025766,PASS,ATCC13032,Compendium sub-sample
GSM5197240,GSM5197240_0221_.gpr.gz,971922,PASS,ATCC13032,Compendium sub-sample
GSM5197241,GSM5197241_0222_.gpr.gz,779995,PASS,ATCC13032,Compendium sub-sample
GSM5197242,GSM5197242_0223_.gpr.gz,1036603,PASS,ATCC13032,Compendium sub-sample
GSM5197243,GSM5197243_0224_.gpr.gz,905898,PASS,ATCC13032,Compendium sub-sample
GSM5197244,GSM5197244_0225_.gpr.gz,901479,PASS,ATCC13032,Compendium sub-sample
GSM5197245,GSM5197245_0226_.gpr.gz,915939,PASS,ATCC13032,Compendium sub-sample
GSM5197246,GSM5197246_0227_.gpr.gz,971747,PASS,ATCC13032,Compendium sub-sample
GSM5197247,GSM5197247_0228_.gpr.gz,908114,PASS,ATCC13032,Compendium sub-sample
GSM5197248,GSM5197248_0229_.gpr.gz,909110,PASS,ATCC13032,Compendium sub-sample
GSM5197249,GSM5197249_0230_.gpr.gz,899735,PASS,ATCC13032,Compendium sub-sample
GSM5197250,GSM5197250_0231_.gpr.gz,861443,PASS,ATCC13032,Compendium sub-sample
GSM5197251,GSM5197251_0232_.gpr.gz,923604,PASS,ATCC13032,Compendium sub-sample
GSM5197252,GSM5197252_0233_.gpr.gz,4631339,PASS,ATCC13032,Compendium sub-sample
GSM5197253,GSM5197253_0234_.gpr.gz,4320273,PASS,ATCC13032,Compendium sub-sample
GSM5197254,GSM5197254_0235_.gpr.gz,4744661,PASS,ATCC13032,Compendium sub-sample
GSM5197255,GSM5197255_0236_.gpr.gz,4505370,PASS,ATCC13032,Compendium sub-sample
GSM5197256,GSM5197256_0237_.gpr.gz,4617992,PASS,ATCC13032,Compendium sub-sample
GSM5197257,GSM5197257_0238_.gpr.gz,4469360,PASS,ATCC13032,Compendium sub-sample
GSM5197258,GSM5197258_0239_.gpr.gz,4322936,PASS,ATCC13032,Compendium sub-sample
GSM5197259,GSM5197259_0240_.gpr.gz,4519318,PASS,ATCC13032,Compendium sub-sample
GSM5197260,GSM5197260_0241_.gpr.gz,4519318,PASS,ATCC13032,Compendium sub-sample
GSM5197261,GSM5197261_0242_.gpr.gz,4322936,PASS,ATCC13032,Compendium sub-sample
GSM5197262,GSM5197262_0243_.gpr.gz,4498033,PASS,ATCC13032,Compendium sub-sample
GSM5197263,GSM5197263_0244_.gpr.gz,4319237,PASS,ATCC13032,Compendium sub-sample
GSM5197264,GSM5197264_0245_.gpr.gz,4576107,PASS,ATCC13032,Compendium sub-sample
GSM5197265,GSM5197265_0246_.gpr.gz,4372812,PASS,ATCC13032,Compendium sub-sample
GSM5197266,GSM5197266_0247_.gpr.gz,938387,PASS,ATCC13032,Compendium sub-sample
GSM5197267,GSM5197267_0248_.gpr.gz,1051309,PASS,ATCC13032,Compendium sub-sample
GSM5197268,GSM5197268_0249_.gpr.gz,992790,PASS,ATCC13032,Compendium sub-sample
GSM5197269,GSM5197269_0250_.gpr.gz,925755,PASS,ATCC13032,Compendium sub-sample
GSM5197270,GSM5197270_0251_.gpr.gz,953862,PASS,ATCC13032,Compendium sub-sample
GSM5197271,GSM5197271_0252_.gpr.gz,927377,PASS,ATCC13032,Compendium sub-sample
GSM5197272,GSM5197272_0253_.gpr.gz,1018342,PASS,ATCC13032,Compendium sub-sample
GSM5197273,GSM5197273_0254_.gpr.gz,949541,PASS,ATCC13032,Compendium sub-sample
GSM5197274,GSM5197274_0255_.gpr.gz,960568,PASS,ATCC13032,Compendium sub-sample
GSM5197275,GSM5197275_0256_.gpr.gz,935166,PASS,ATCC13032,Compendium sub-sample
GSM5197276,GSM5197276_0257_.gpr.gz,955742,PASS,ATCC13032,Compendium sub-sample
GSM5197277,GSM5197277_0258_.gpr.gz,966919,PASS,ATCC13032,Compendium sub-sample
GSM5197278,GSM5197278_0259_.gpr.gz,956883,PASS,ATCC13032,Compendium sub-sample
GSM5197279,GSM5197279_0260_.gpr.gz,982816,PASS,ATCC13032,Compendium sub-sample
GSM5197280,GSM5197280_0261_.gpr.gz,993485,PASS,ATCC13032,Compendium sub-sample
GSM5197281,GSM5197281_0262_.gpr.gz,938434,PASS,ATCC13032,Compendium sub-sample
GSM5197282,GSM5197282_0263_.gpr.gz,936278,PASS,ATCC13032,Compendium sub-sample
GSM5197283,GSM5197283_0264_.gpr.gz,941630,PASS,ATCC13032,Compendium sub-sample
GSM5197284,GSM5197284_0265_.gpr.gz,934177,PASS,ATCC13032,Compendium sub-sample
GSM5197285,GSM5197285_0266_.gpr.gz,934644,PASS,ATCC13032,Compendium sub-sample
GSM5197286,GSM5197286_0267_.gpr.gz,989942,PASS,ATCC13032,Compendium sub-sample
GSM5197287,GSM5197287_0268_.gpr.gz,954621,PASS,ATCC13032,Compendium sub-sample
GSM5197288,GSM5197288_0269_.gpr.gz,932092,PASS,ATCC13032,Compendium sub-sample
GSM5197289,GSM5197289_0270_.gpr.gz,911717,PASS,ATCC13032,Compendium sub-sample
GSM5197290,GSM5197290_0271_.gpr.gz,1018727,PASS,ATCC13032,Compendium sub-sample
GSM5197291,GSM5197291_0272_.gpr.gz,948236,PASS,ATCC13032,Compendium sub-sample
GSM5197292,GSM5197292_0273_.gpr.gz,974400,PASS,ATCC13032,Compendium sub-sample
GSM5197293,GSM5197293_0274_.gpr.gz,998937,PASS,ATCC13032,Compendium sub-sample
GSM5197294,GSM5197294_0275_.gpr.gz,908335,PASS,ATCC13032,Compendium sub-sample
