merged_gene	n_samples_in_tsv	n_models_found	n_missing_samples	sample_prefixes	missing_sample_prefixes
Cgl2941	4	4	0	Cgl2941-1;Cgl2941-2;Cgl2941-3;Cgl2941-4	
Cgl2947	2	2	0	Cgl2947-1;Cgl2947-2	
Cgl2965	2	2	0	Cgl2965-1;Cgl2965-2	
Cgl2970	2	2	0	Cgl2970-1;Cgl2970-2	
Cgl2979	2	2	0	Cgl2979-1;Cgl2979-2	
Cgl2988	2	2	0	Cgl2988-1;Cgl2988-2	
Cgl3024	2	2	0	Cgl3024-1;Cgl3024-2	
Cgl3044	2	2	0	Cgl3044-1;Cgl3044-2	
Cgl3055	2	2	0	Cgl3055-1;Cgl3055-2	
Cgl3059	2	2	0	Cgl3059-1;Cgl3059-2	
Cgl3084	2	2	0	Cgl3084-1;Cgl3084-2	
Cgl3089	2	2	0	Cgl3089-1;Cgl3089-2	
Cgl3094	2	2	0	Cgl3094-1;Cgl3094-2	
Cgl420	2	2	0	Cgl420-1-i7;Cgl420-2-i7	
Cgl9768	1	1	0	Cgl9768-2-i7	
FurH	6	4	2	FurH-1-i7;FurH-1-plate3;FurH-1-plate4;FurH-2-i7;FurH-2-plate3;FurH-2-plate4	FurH-1-i7;FurH-2-plate3
FurHpl5	2	2	0	FurHpl5-1;FurHpl5-2	
FurHpl6	2	2	0	FurHpl6-1;FurHpl6-2	
FurHpl7	2	2	0	FurHpl7-1;FurHpl7-2	
FurHpl8	2	2	0	FurHpl8-1;FurHpl8-2	
FurHpl9	0	1	0		
Furpl10	2	1	1	Furpl10-1;Furpl10-2	Furpl10-1
ccg1272	2	2	0	ccg1272-1;ccg1272-2	
ccg1704	2	2	0	ccg1704-1;ccg1704-2	
cg1068	2	2	0	cg1068-1;cg1068-2	
pdhR	0	1	0		
